,Source,State,Year,Species,Latitude,Longitude,public_positional_accuracy
25,I-naturalist,Utah,2019,Adalia bipunctata,40.6964840556,-111.8255679309,33.0
26,I-naturalist,Utah,2019,Adalia bipunctata,40.6098854622,-111.8519127006,49.0
27,I-naturalist,Utah,2019,Adalia bipunctata,40.7199211121,-111.973274231,0.0
28,I-naturalist,Utah,2019,Adalia bipunctata,40.6618538447,-111.9676307868,24.0
29,I-naturalist,Utah,2019,Adalia bipunctata,40.7492295,-111.9208219,160.0
30,I-naturalist,Utah,2019,Adalia bipunctata,40.7482032776,-111.9192733765,0.0
31,I-naturalist,Utah,2019,Adalia bipunctata,40.7360881867,-111.9240286137,114.0
32,I-naturalist,Utah,2019,Adalia bipunctata,40.6749583333,-111.845475,5.0
33,I-naturalist,Utah,2019,Adalia bipunctata,40.5927273806,-111.8856536233,61.0
34,I-naturalist,Utah,2019,Adalia bipunctata,40.3069431354,-111.6818900739,20.0
35,I-naturalist,Oregon,2019,Adalia bipunctata,45.20417003,-117.87135833,16.0
36,I-naturalist,Oregon,2019,Adalia bipunctata,45.20416802,-117.87137725,10.0
37,I-naturalist,Wyoming,2019,Adalia bipunctata,41.312125,-105.5932833333,10.0
38,I-naturalist,Alberta,2019,Adalia bipunctata,49.6736942,-112.892826,0.0
39,I-naturalist,Alberta,2019,Adalia bipunctata,51.0448194444,-114.0387111111,9.0
40,I-naturalist,Alberta,2019,Adalia bipunctata,51.0472,-114.0467138333,16.0
41,I-naturalist,Alberta,2019,Adalia bipunctata,50.9617881775,-114.0053482056,0.0
42,I-naturalist,Ontario,2019,Adalia bipunctata,46.4096908603,-80.1219020372,31.0
43,I-naturalist,California,2019,Adalia bipunctata,36.9564383333,-122.0607916667,5.0
44,I-naturalist,Alberta,2019,Adalia bipunctata,51.04591412,-114.03318522,4.0
45,I-naturalist,British Columbia,2019,Adalia bipunctata,48.4211422,-123.36462498,9.0
46,I-naturalist,Alberta,2019,Adalia bipunctata,51.0520515442,-114.1511306763,0.0
47,I-naturalist,Alberta,2019,Adalia bipunctata,51.052936554,-114.1421508789,0.0
48,I-naturalist,British Columbia,2019,Adalia bipunctata,48.4368545868,-123.3549031091,242.0
49,I-naturalist,California,2019,Adalia bipunctata,37.7107166667,-122.4463666667,12.0
50,I-naturalist,British Columbia,2019,Adalia bipunctata,49.0297409334,-122.0026464389,10.0
51,I-naturalist,Oregon,2019,Adalia bipunctata,45.20412232,-117.87133031,18.0
52,I-naturalist,California,2019,Adalia bipunctata,37.7993661653,-122.472897347,48.0
53,I-naturalist,California,2019,Adalia bipunctata,37.8020540013,-122.4566667789,6.0
54,I-naturalist,Oregon,2019,Adalia bipunctata,45.20414543,-117.87140208,16.0
55,I-naturalist,Oregon,2019,Adalia bipunctata,45.2041759,-117.87136143,7.0
56,I-naturalist,Oregon,2019,Adalia bipunctata,45.20419453,-117.8714323,9.0
57,I-naturalist,Oregon,2019,Adalia bipunctata,45.20416047,-117.87141842,7.0
58,I-naturalist,Oregon,2019,Adalia bipunctata,45.20418433,-117.87145516,6.0
59,I-naturalist,Oregon,2019,Adalia bipunctata,45.20420691,-117.87146812,9.0
60,I-naturalist,California,2019,Adalia bipunctata,37.8060826397,-122.2565864886,8.0
61,I-naturalist,Oregon,2019,Adalia bipunctata,45.20421986,-117.87149931,4.0
62,I-naturalist,Oregon,2019,Adalia bipunctata,45.20420045,-117.87145651,9.0
63,I-naturalist,Oregon,2019,Adalia bipunctata,45.2042083,-117.8714739,9.0
64,I-naturalist,Oregon,2019,Adalia bipunctata,45.5193755475,-122.6745243599,45.0
65,I-naturalist,Illinois,2019,Adalia bipunctata,41.8579960289,-87.7599098069,10.0
66,Bugguide.net,Oregon,2019,Adalia bipunctata,45.325011,-118.031311,0.0
67,I-naturalist,Colorado,2019,Adalia bipunctata,40.2225446651,-105.0841668248,263.0
68,I-naturalist,Oregon,2019,Adalia bipunctata,45.20420767,-117.87146397,7.0
69,I-naturalist,Alberta,2019,Adalia bipunctata,53.5411462257,-113.6075069554,31.0
70,I-naturalist,Utah,2019,Adalia bipunctata,40.7401807281,-111.8720228692,5.0
71,I-naturalist,Utah,2019,Adalia bipunctata,40.7552914939,-111.8588462431,174.0
72,I-naturalist,Saskatchewan,2018,Adalia bipunctata,50.4419848891,-104.6228063022,22.0
73,I-naturalist,Saskatchewan,2018,Adalia bipunctata,49.5147383561,-108.8266146179,31.0
74,I-naturalist,Montana,2018,Adalia bipunctata,45.2290083049,-111.253579734,10.0
75,I-naturalist,Montana,2018,Adalia bipunctata,45.2278473704,-111.2529637793,596.0
76,I-naturalist,Nevada,2018,Adalia bipunctata,39.504699707,-119.9019622803,0.0
77,I-naturalist,Nevada,2018,Adalia bipunctata,39.501966,-119.804814,0.0
78,I-naturalist,New York,2018,Adalia bipunctata,40.6037780119,-73.9741533451,41.0
79,I-naturalist,New York,2018,Adalia bipunctata,40.5991363954,-73.9559657872,33.0
80,I-naturalist,Alberta,2018,Adalia bipunctata,53.5311584312,-113.2585526432,8.0
81,I-naturalist,New Mexico,2018,Adalia bipunctata,35.0834218567,-106.6202598019,255.0
82,I-naturalist,New York,2018,Adalia bipunctata,40.6958351135,-73.9975128174,0.0
83,I-naturalist,New Mexico,2018,Adalia bipunctata,35.1033794463,-106.6181148992,22.0
84,I-naturalist,Alberta,2018,Adalia bipunctata,53.5063888528,-113.5145479652,488.0
85,I-naturalist,New Mexico,2018,Adalia bipunctata,35.2619866667,-106.6079633333,50.0
86,I-naturalist,Ontario,2018,Adalia bipunctata,47.4481,-79.6334,10.0
87,I-naturalist,Ontario,2018,Adalia bipunctata,43.654295,-79.3563833333,30.0
88,I-naturalist,Saskatchewan,2018,Adalia bipunctata,50.4419914452,-104.6228521218,23.0
89,Bugguide.net,Minnesota,2018,Adalia bipunctata,47.369145,-92.404547,0.0
90,The Lost Ladybugs,Minnesota,2018,Adalia bipunctata,47.5156,-92.53601,0.0
91,I-naturalist,Saskatchewan,2018,Adalia bipunctata,50.4201935399,-104.6342463009,2.0
92,I-naturalist,Alberta,2018,Adalia bipunctata,53.365033,-113.714239,6.0
93,The Lost Ladybugs,Saskatchewan,2018,Adalia bipunctata,52.1304893,-106.65926,0.0
94,I-naturalist,Alberta,2018,Adalia bipunctata,51.1907533333,-114.4938716667,5.0
95,I-naturalist,Alberta,2018,Adalia bipunctata,51.1907283333,-114.4938966667,10.0
96,Observations,British Columbia,2018,Adalia bipunctata,48.649062,-123.404838,0.0
97,I-naturalist,Ontario,2018,Adalia bipunctata,51.020825,-93.8237216667,10.0
98,The Lost Ladybugs,Minnesota,2018,Adalia bipunctata,47.51455,-92.53707,0.0
99,I-naturalist,North Dakota,2018,Adalia bipunctata,46.8129361111,-100.788125,10.0
100,I-naturalist,North Dakota,2018,Adalia bipunctata,47.2967036871,-101.6301790275,65.0
101,I-naturalist,Alberta,2018,Adalia bipunctata,49.6523333333,-112.8706366667,5.0
102,I-naturalist,Utah,2019,Adalia bipunctata,40.7436146215,-111.8609974368,4.0
103,I-naturalist,New York,2018,Adalia bipunctata,40.6540046716,-74.0058246762,229.0
104,I-naturalist,Colorado,2018,Adalia bipunctata,40.0052138833,-105.2450633333,5.0
105,I-naturalist,North Dakota,2019,Adalia bipunctata,48.3157391653,-102.3900288558,22.0
106,I-naturalist,North Dakota,2019,Adalia bipunctata,47.296295,-101.6300366667,30.0
107,I-naturalist,California,2019,Adalia bipunctata,39.9349558504,-120.9150867756,5.0
108,I-naturalist,New York,2019,Adalia bipunctata,40.71406167,-73.82364667,28.0
109,I-naturalist,New York,2019,Adalia bipunctata,41.010795543,-73.7061452587,5.0
110,I-naturalist,New York,2019,Adalia bipunctata,40.69556427,-73.9989929199,0.0
111,Bugguide.net,New Mexico,2019,Adalia bipunctata,35.101046,-106.612469,0.0
112,I-naturalist,New York,2019,Adalia bipunctata,40.7900834782,-73.9256124851,10.0
113,I-naturalist,New York,2019,Adalia bipunctata,40.6977474065,-73.998246789,66.0
114,I-naturalist,New York,2019,Adalia bipunctata,40.69312,-74.001494445,5.0
115,I-naturalist,New Mexico,2019,Adalia bipunctata,36.3873333333,-105.585395,10.0
116,I-naturalist,Utah,2019,Adalia bipunctata,40.7658510148,-111.8248651424,12.0
117,I-naturalist,Utah,2019,Adalia bipunctata,40.766476,-111.8272225,31.0
118,I-naturalist,Utah,2019,Adalia bipunctata,40.7710363174,-111.8794053157,16.0
119,I-naturalist,New York,2019,Adalia bipunctata,40.7900552731,-73.9256298356,10.0
120,I-naturalist,California,2018,Adalia bipunctata,32.7774889843,-117.07131319,65.0
121,Bugguide.net,California,2019,Adalia bipunctata,37.942423,-122.060886,0.0
122,I-naturalist,California,2018,Adalia bipunctata,37.8014805556,-122.4584194444,0.0
123,I-naturalist,California,2018,Adalia bipunctata,37.7824116592,-122.399232248,50.0
124,I-naturalist,California,2018,Adalia bipunctata,32.957157135,-116.5827941895,0.0
125,I-naturalist,California,2018,Adalia bipunctata,34.187845,-118.1391055,6.0
126,I-naturalist,Colorado,2018,Adalia bipunctata,39.6873654993,-104.9614805805,8.0
127,I-naturalist,Colorado,2018,Adalia bipunctata,40.0322721667,-105.2390366667,5.0
128,I-naturalist,Colorado,2018,Adalia bipunctata,39.728601731,-104.8907641451,504.0
129,I-naturalist,California,2019,Adalia bipunctata,37.7787755,-122.2238557,189.0
130,I-naturalist,Colorado,2018,Adalia bipunctata,39.6577033333,-104.9153833333,0.0
131,I-naturalist,Colorado,2018,Adalia bipunctata,39.8276160452,-104.8588371277,244.0
132,I-naturalist,Colorado,2018,Adalia bipunctata,39.98088,-105.2434216667,10.0
133,I-naturalist,California,2018,Adalia bipunctata,37.7615300293,-122.5025775045,61.0
134,I-naturalist,California,2018,Adalia bipunctata,37.6462466667,-122.14885,8.0
135,I-naturalist,California,2018,Adalia bipunctata,38.9407833333,-120.0589971667,10.0
136,I-naturalist,California,2018,Adalia bipunctata,37.7754366667,-122.4611366667,10.0
137,I-naturalist,Colorado,2018,Adalia bipunctata,39.8272821808,-104.858751297,464.0
138,I-naturalist,British Columbia,2019,Adalia bipunctata,49.2548489148,-123.0046154559,132.0
139,I-naturalist,Saskatchewan,2019,Adalia bipunctata,52.1456668367,-106.6357544404,931.0
140,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4497833333,-104.5553966667,12.0
141,I-naturalist,South Dakota,2020,Adalia bipunctata,44.3674606944,-100.3176035833,0.0
142,I-naturalist,South Dakota,2020,Adalia bipunctata,44.3714435833,-100.3630455833,0.0
143,I-naturalist,Ontario,2020,Adalia bipunctata,48.447204893,-89.2245825225,2.0
144,I-naturalist,Alberta,2020,Adalia bipunctata,52.2464288687,-113.8204822865,65.0
145,I-naturalist,Alberta,2020,Adalia bipunctata,51.0752183333,-114.0867716667,0.0
146,I-naturalist,Alberta,2020,Adalia bipunctata,51.059316624,-114.0799199739,24.0
147,I-naturalist,British Columbia,2020,Adalia bipunctata,48.42767,-123.343025,0.0
148,I-naturalist,Alberta,2020,Adalia bipunctata,51.1359011256,-114.151124954,258.0
149,I-naturalist,British Columbia,2020,Adalia bipunctata,50.97473667,-119.20780333,6.0
150,I-naturalist,Alberta,2020,Adalia bipunctata,51.1452266146,-114.0773482562,21.0
151,I-naturalist,Saskatchewan,2020,Adalia bipunctata,49.5777438361,-101.6997728545,656.0
152,I-naturalist,Saskatchewan,2020,Adalia bipunctata,52.1098460222,-106.6419473763,1.0
153,I-naturalist,Alberta,2020,Adalia bipunctata,52.262472,-113.8174608,11.0
154,I-naturalist,Alberta,2020,Adalia bipunctata,51.146480009,-114.1654600203,5.0
155,I-naturalist,Alberta,2020,Adalia bipunctata,51.0613925918,-114.1481018914,100.0
156,I-naturalist,Alberta,2020,Adalia bipunctata,53.2441274,-113.5280706,146.0
157,I-naturalist,Alberta,2020,Adalia bipunctata,53.4940691708,-113.5274100266,397.0
158,I-naturalist,California,2020,Adalia bipunctata,37.54660833,-122.30412167,6.0
159,I-naturalist,Alberta,2020,Adalia bipunctata,50.9852826246,-114.0568642016,4.0
160,I-naturalist,Alberta,2020,Adalia bipunctata,51.0374320581,-114.0713193611,101.0
161,I-naturalist,British Columbia,2020,Adalia bipunctata,48.4139283333,-123.3388883333,12.0
162,I-naturalist,Ontario,2020,Adalia bipunctata,48.4452752839,-89.2792164093,31.0
163,I-naturalist,British Columbia,2020,Adalia bipunctata,48.42568333,-123.34609167,10.0
164,I-naturalist,Alberta,2020,Adalia bipunctata,51.0851091975,-114.0613712225,15.0
165,I-naturalist,British Columbia,2020,Adalia bipunctata,48.4580871401,-123.3690542344,122.0
166,I-naturalist,Quebec,2020,Adalia bipunctata,48.427775,-71.21645333,16.0
167,I-naturalist,Alberta,2020,Adalia bipunctata,53.4699886128,-113.4091410948,32.0
168,I-naturalist,Alberta,2020,Adalia bipunctata,51.0643186389,-114.061977094,976.0
169,I-naturalist,California,2020,Adalia bipunctata,37.7708866667,-122.3928533333,48.0
170,I-naturalist,Quebec,2020,Adalia bipunctata,49.043696,-66.843818,0.0
171,I-naturalist,Alberta,2020,Adalia bipunctata,50.0035388889,-110.6849833333,5.0
172,I-naturalist,British Columbia,2020,Adalia bipunctata,48.9704378075,-123.7958920065,23.0
173,I-naturalist,California,2020,Adalia bipunctata,37.5508330145,-122.308801904,15.0
174,I-naturalist,Alberta,2020,Adalia bipunctata,52.28276333,-113.81527,10.0
175,I-naturalist,British Columbia,2020,Adalia bipunctata,49.3066902158,-123.0625534056,0.0
176,I-naturalist,Alberta,2020,Adalia bipunctata,51.0613037118,-114.0687431883,167.0
177,I-naturalist,Alberta,2020,Adalia bipunctata,53.5046439898,-113.5222421588,10.0
178,I-naturalist,California,2020,Adalia bipunctata,37.73894167,-122.373895,4.0
179,I-naturalist,California,2020,Adalia bipunctata,37.6052734,-122.3768992,7.0
180,I-naturalist,Oregon,2020,Adalia bipunctata,45.20421388,-117.87089606,6.0
181,I-naturalist,Oregon,2020,Adalia bipunctata,45.5734545302,-122.6838664373,259.0
182,I-naturalist,Alberta,2020,Adalia bipunctata,53.5046706861,-113.5221474433,10.0
183,I-naturalist,Oregon,2020,Adalia bipunctata,45.20407326,-117.87135617,8.0
184,I-naturalist,Oregon,2020,Adalia bipunctata,45.5702416667,-122.6463583333,0.0
185,I-naturalist,Alberta,2020,Adalia bipunctata,53.5335722222,-113.5349722222,24.0
186,I-naturalist,Alberta,2020,Adalia bipunctata,51.0504445,-114.17023833,0.0
187,I-naturalist,Alberta,2020,Adalia bipunctata,52.2817383333,-113.7788466667,0.0
188,I-naturalist,Alberta,2020,Adalia bipunctata,51.0957368945,-114.1402639567,2.0
189,I-naturalist,Alberta,2020,Adalia bipunctata,53.3637924194,-113.4274673462,0.0
190,I-naturalist,Oregon,2020,Adalia bipunctata,44.02612079,-116.93745917,4.0
191,I-naturalist,Alberta,2020,Adalia bipunctata,51.2025388889,-114.4693527778,5.0
192,I-naturalist,Alberta,2020,Adalia bipunctata,53.6654204335,-113.6270851482,8.0
193,I-naturalist,Saskatchewan,2020,Adalia bipunctata,50.44196667,-104.62265,4.0
194,I-naturalist,British Columbia,2020,Adalia bipunctata,49.2769353452,-123.1209063834,15.0
195,I-naturalist,Alberta,2020,Adalia bipunctata,50.912333,-113.953608,180.0
196,I-naturalist,Alberta,2020,Adalia bipunctata,51.1353420603,-114.2156587931,65.0
197,I-naturalist,Saskatchewan,2020,Adalia bipunctata,52.1298828227,-106.7248318505,61.0
198,I-naturalist,Alberta,2020,Adalia bipunctata,53.2934445414,-112.4248971366,65.0
199,I-naturalist,Ontario,2020,Adalia bipunctata,48.3816913064,-89.2573003471,7.0
200,I-naturalist,Alberta,2020,Adalia bipunctata,50.9743178,-114.0326618,651.0
201,I-naturalist,California,2020,Adalia bipunctata,33.9345239801,-117.9108155898,6.0
202,I-naturalist,Alberta,2020,Adalia bipunctata,53.5101151543,-113.4739847306,22.0
203,I-naturalist,Alberta,2020,Adalia bipunctata,51.0235833333,-114.00365555,0.0
204,I-naturalist,Alberta,2020,Adalia bipunctata,51.1067420576,-114.1750723061,12.0
205,I-naturalist,British Columbia,2020,Adalia bipunctata,50.9573261717,-122.5325823574,563.0
206,I-naturalist,Alberta,2020,Adalia bipunctata,53.4582015748,-113.5171892541,12.0
207,I-naturalist,Alberta,2020,Adalia bipunctata,51.0441706166,-114.0531012805,31.0
208,I-naturalist,Rhode Island,2020,Adalia bipunctata,41.8498716597,-71.4604894817,44.0
209,I-naturalist,California,2020,Adalia bipunctata,37.3859576086,-122.0907001672,14.0
210,I-naturalist,Washington,2019,Adalia bipunctata,47.4255055556,-120.28515,5.0
211,I-naturalist,Colorado,2019,Adalia bipunctata,39.9759533333,-105.1287166667,5.0
212,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.506815412,-104.6628342952,8.0
213,I-naturalist,Colorado,2019,Adalia bipunctata,39.4509972222,-105.7295305556,5.0
214,I-naturalist,British Columbia,2019,Adalia bipunctata,48.4204133333,-123.3700033333,30.0
215,I-naturalist,British Columbia,2019,Adalia bipunctata,53.8038072446,-123.0558745386,6.0
216,I-naturalist,Quebec,2019,Adalia bipunctata,47.3247716667,-79.4411866667,7.0
217,I-naturalist,Ontario,2019,Adalia bipunctata,48.4711603192,-81.2799785659,22.0
218,I-naturalist,Idaho,2019,Adalia bipunctata,43.573212,-116.140872,192.0
219,I-naturalist,Saskatchewan,2019,Adalia bipunctata,52.0294665498,-106.7050860142,103.0
220,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4393917229,-104.5911493152,9.0
221,I-naturalist,Alberta,2019,Adalia bipunctata,53.3649773,-113.7144035,21.0
222,I-naturalist,British Columbia,2019,Adalia bipunctata,49.2698707581,-123.1019439697,0.0
223,I-naturalist,Idaho,2019,Adalia bipunctata,46.7426416013,-116.985861051,4.0
224,I-naturalist,Idaho,2019,Adalia bipunctata,43.614095,-116.50743,5.0
225,I-naturalist,Idaho,2019,Adalia bipunctata,43.5819166667,-116.401825,5.0
226,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4916152954,-104.611328125,0.0
227,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.44128,-104.62078,5.0
228,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.44222,-104.62303,6.0
229,I-naturalist,Saskatchewan,2019,Adalia bipunctata,52.4974084339,-103.533291214,8.0
230,I-naturalist,Alberta,2019,Adalia bipunctata,53.5239116667,-113.483375,10.0
231,I-naturalist,Ontario,2019,Adalia bipunctata,44.2362545938,-76.4889617985,11.0
232,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.441975,-104.6231783333,10.0
233,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4719619751,-104.6499633789,0.0
234,I-naturalist,Alberta,2019,Adalia bipunctata,51.1259920307,-114.1763922352,32.0
235,I-naturalist,Quebec,2019,Adalia bipunctata,48.123205747,-77.8355415055,2.0
236,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4599576,-104.65208589,9.0
237,I-naturalist,Alberta,2019,Adalia bipunctata,51.8319243521,-113.0104066059,263.0
238,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4358872492,-104.6314037405,9.0
239,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4420265236,-104.6231003293,16.0
240,I-naturalist,Alberta,2019,Adalia bipunctata,51.0471992493,-114.0391769409,0.0
241,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4749832153,-104.6429672241,0.0
242,I-naturalist,Idaho,2019,Adalia bipunctata,43.567779541,-116.1544418335,0.0
243,I-naturalist,Idaho,2019,Adalia bipunctata,43.567779541,-116.1549987793,0.0
244,I-naturalist,Idaho,2019,Adalia bipunctata,43.5688523905,-116.1587304605,104.0
245,I-naturalist,Washington,2019,Adalia bipunctata,47.5482721741,-122.3758881899,65.0
246,I-naturalist,Washington,2019,Adalia bipunctata,47.6169916667,-122.3523333333,65.0
247,I-naturalist,Colorado,2019,Adalia bipunctata,39.7113685608,-105.0824432373,0.0
248,I-naturalist,Colorado,2019,Adalia bipunctata,39.65298,-105.1882383333,65.0
249,I-naturalist,Washington,2019,Adalia bipunctata,47.4506835938,-122.0737380981,0.0
250,I-naturalist,Washington,2019,Adalia bipunctata,47.6657516667,-117.40642,0.0
251,I-naturalist,Washington,2019,Adalia bipunctata,47.6078910828,-122.3437652588,0.0
252,I-naturalist,Washington,2019,Adalia bipunctata,47.5122033333,-120.488,10.0
253,I-naturalist,California,2019,Adalia bipunctata,37.80753,-122.293305,16.0
254,I-naturalist,California,2019,Adalia bipunctata,37.7662166667,-122.47432,10.0
255,I-naturalist,California,2019,Adalia bipunctata,37.6652202109,-122.3924014905,106.0
256,I-naturalist,California,2019,Adalia bipunctata,37.338955,-121.9212883333,24.0
257,I-naturalist,California,2019,Adalia bipunctata,37.7729759216,-122.2333679199,0.0
258,I-naturalist,California,2019,Adalia bipunctata,37.58077,-122.31355,10.0
259,I-naturalist,California,2019,Adalia bipunctata,37.805455,-122.4262166667,10.0
260,I-naturalist,Washington,2019,Adalia bipunctata,46.3059317943,-119.2642615736,33.0
261,I-naturalist,Washington,2019,Adalia bipunctata,47.6987342834,-122.3711166382,0.0
262,I-naturalist,Washington,2019,Adalia bipunctata,46.3259592628,-119.3245727196,9.0
263,I-naturalist,Idaho,2019,Adalia bipunctata,43.740398,-116.1222,0.0
264,I-naturalist,Saskatchewan,2019,Adalia bipunctata,52.1274342101,-106.7476086061,152.0
265,I-naturalist,Saskatchewan,2019,Adalia bipunctata,50.4381116667,-104.6244283333,16.0
266,I-naturalist,British Columbia,2019,Adalia bipunctata,49.698143,-123.164715,42.0
267,I-naturalist,British Columbia,2019,Adalia bipunctata,48.57727,-123.569,5.0
268,I-naturalist,British Columbia,2019,Adalia bipunctata,48.4547855845,-123.3974594997,5.0
269,I-naturalist,Alberta,2019,Adalia bipunctata,51.155558419,-114.0883522083,178.0
270,I-naturalist,Alberta,2019,Adalia bipunctata,50.9531231289,-114.1311785981,22.0
271,I-naturalist,Alberta,2019,Adalia bipunctata,53.36504431,-113.71445965,4.0
272,Bugguide.net,Idaho,2019,Adalia bipunctata,43.5603,-116.280069,0.0
273,I-naturalist,Idaho,2019,Adalia bipunctata,43.5607628207,-116.66326673,61.0
274,I-naturalist,Washington,2019,Adalia bipunctata,47.698748,-122.3711351389,0.0
275,I-naturalist,Washington,2019,Adalia bipunctata,47.6987670556,-122.3710765556,0.0
276,I-naturalist,Washington,2019,Adalia bipunctata,48.6960522567,-122.9058169096,221.0
277,I-naturalist,Washington,2018,Adalia bipunctata,47.6986274722,-122.3708648611,0.0
278,I-naturalist,Washington,2018,Adalia bipunctata,47.6074867249,-122.3432540894,0.0
279,The Lost Ladybugs,Alberta,2015,Adalia bipunctata,51.092054,-114.20981,0.0
280,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2015,Adalia bipunctata,53.5,-113.4800033569336,0.0
281,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2015,Adalia bipunctata,53.52000045776367,-113.31999969482422,0.0
282,The Lost Ladybugs,Alberta,2015,Adalia bipunctata,53.6189002,-113.637,0.0
283,,Alberta,2015,Adalia bipunctata,53.508,-113.486,0.0
284,Centre for Biodiversity Genomics,Alberta,2015,Adalia bipunctata,53.5,-113.48,0.0
285,The Lost Ladybugs,Alberta,2015,Adalia bipunctata,51.0452194,-114.06301,0.0
286,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2015,Adalia bipunctata,53.709999084472656,-111.73999786376952,0.0
287,European Molecular Biology Laboratory (EMBL),British Columbia,2015,Adalia bipunctata,49.209999084472656,-123.97000122070312,0.0
288,I-naturalist,Alberta,2015,Adalia bipunctata,53.3558583333,-117.8605716667,0.0
289,I-naturalist,Alberta,2015,Adalia bipunctata,51.05011,-114.08529,0.0
290,European Molecular Biology Laboratory (EMBL),Alberta,2015,Adalia bipunctata,53.5099983215332,-113.48999786376952,0.0
291,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2015,Adalia bipunctata,49.66999816894531,-112.80999755859376,0.0
292,I-naturalist,Washington,2015,Adalia bipunctata,47.654348,-122.292222,19.0
293,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2015,Adalia bipunctata,51.09000015258789,-113.94000244140624,0.0
294,,Alberta,2015,Adalia bipunctata,53.7104,-111.744,0.0
295,The Lost Ladybugs,Saskatchewan,2015,Adalia bipunctata,50.8046989,-104.913,0.0
296,"University of Guelph, Centre for Biodiversity Genomics",British Columbia,2015,Adalia bipunctata,54.08000183105469,-122.9800033569336,0.0
297,"University of Guelph, Centre for Biodiversity Genomics",British Columbia,2015,Adalia bipunctata,49.20000076293945,-123.97000122070312,0.0
298,,British Columbia,2015,Adalia bipunctata,54.085,-122.988,0.0
299,,British Columbia,2015,Adalia bipunctata,49.207,-123.972,0.0
300,Centre for Biodiversity Genomics,British Columbia,2015,Adalia bipunctata,54.08,-122.98,0.0
301,,Alberta,2015,Adalia bipunctata,53.52,-113.321,0.0
302,Centre for Biodiversity Genomics,British Columbia,2015,Adalia bipunctata,49.2,-123.97,0.0
303,"University of Guelph, Centre for Biodiversity Genomics",Saskatchewan,2015,Adalia bipunctata,52.0,-106.97000122070312,0.0
304,,Alberta,2015,Adalia bipunctata,49.672,-112.813,0.0
305,,Alberta,2015,Adalia bipunctata,51.0927,-113.942,0.0
306,"University of Guelph, Centre for Biodiversity Genomics",Manitoba,2015,Adalia bipunctata,50.43000030517578,-100.58999633789062,0.0
